model_key,model_display_x,relation_key,relation_group,n_correct,n_hall,n_refusal,n_unknown,n_total,answered_n,answered_accuracy,hall_rate_answered,noncorrect_n,hall_rate_noncorrect,behavior_metric_main,behavior_source,is_factual,is_commonsense,is_linguistic,is_bias,behavior_y,model_display_y,linearity_score,n_train,n_test,subject_layer,object_layer,hidden_state_subject_index,hidden_state_object_index,dataset_display,behavior_metric,behavior_value
gemma_7b_it,Gemma-7B-IT,adj_antonym,linguistic,73,27,0,0,100,100,0.73,0.27,27,1.0,Answered accuracy = Correct/(Correct+Hall),natural_lre_3way_judge_n_test_gt10,False,False,True,False,0.73,Gemma-7B-IT,0.6328458746119291,75,25,14,26,15,27,Natural 28 LRE,answered_case_accuracy,0.73
gemma_7b_it,Gemma-7B-IT,adj_comparative,linguistic,62,6,0,0,68,68,0.9117647058823528,0.088235294117647,6,1.0,Answered accuracy = Correct/(Correct+Hall),natural_lre_3way_judge_n_test_gt10,False,False,True,False,0.9117647058823528,Gemma-7B-IT,0.6664177156817083,51,17,14,26,15,27,Natural 28 LRE,answered_case_accuracy,0.9117647058823528
gemma_7b_it,Gemma-7B-IT,adj_superlative,linguistic,60,20,0,0,80,80,0.75,0.25,20,1.0,Answered accuracy = Correct/(Correct+Hall),natural_lre_3way_judge_n_test_gt10,False,False,True,False,0.75,Gemma-7B-IT,0.6490952475032243,60,20,14,26,15,27,Natural 28 LRE,answered_case_accuracy,0.75
gemma_7b_it,Gemma-7B-IT,company_ceo,factual,76,167,55,0,298,243,0.3127572016460905,0.6872427983539094,222,0.7522522522522522,Answered accuracy = Correct/(Correct+Hall),natural_lre_3way_judge_n_test_gt10,True,False,False,False,0.3127572016460905,Gemma-7B-IT,0.4027990704041456,223,75,14,26,15,27,Natural 28 LRE,answered_case_accuracy,0.3127572016460905
gemma_7b_it,Gemma-7B-IT,company_hq,factual,292,273,109,0,674,565,0.5168141592920354,0.4831858407079646,382,0.7146596858638743,Answered accuracy = Correct/(Correct+Hall),natural_lre_3way_judge_n_test_gt10,True,False,False,False,0.5168141592920354,Gemma-7B-IT,0.5899294711417709,505,169,14,26,15,27,Natural 28 LRE,answered_case_accuracy,0.5168141592920354
gemma_7b_it,Gemma-7B-IT,landmark_in_country,factual,509,276,51,0,836,785,0.6484076433121019,0.351592356687898,327,0.8440366972477065,Answered accuracy = Correct/(Correct+Hall),natural_lre_3way_judge_n_test_gt10,True,False,False,False,0.6484076433121019,Gemma-7B-IT,0.7481843690658686,627,209,14,26,15,27,Natural 28 LRE,answered_case_accuracy,0.6484076433121019
gemma_7b_it,Gemma-7B-IT,landmark_on_continent,factual,324,594,29,0,947,918,0.3529411764705882,0.6470588235294118,623,0.9534510433386838,Answered accuracy = Correct/(Correct+Hall),natural_lre_3way_judge_n_test_gt10,True,False,False,False,0.3529411764705882,Gemma-7B-IT,0.8246669281927428,710,237,14,26,15,27,Natural 28 LRE,answered_case_accuracy,0.3529411764705882
gemma_7b_it,Gemma-7B-IT,object_superclass,commonsense,60,16,0,0,76,76,0.7894736842105263,0.2105263157894736,16,1.0,Answered accuracy = Correct/(Correct+Hall),natural_lre_3way_judge_n_test_gt10,False,True,False,False,0.7894736842105263,Gemma-7B-IT,0.7959262776859977,57,19,14,26,15,27,Natural 28 LRE,answered_case_accuracy,0.7894736842105263
gemma_7b_it,Gemma-7B-IT,occupation_age,bias,28,17,0,0,45,45,0.6222222222222222,0.3777777777777777,17,1.0,Answered accuracy = Correct/(Correct+Hall),natural_lre_3way_judge_n_test_gt10,False,False,False,True,0.6222222222222222,Gemma-7B-IT,0.7835557221768567,33,12,14,26,15,27,Natural 28 LRE,answered_case_accuracy,0.6222222222222222
gemma_7b_it,Gemma-7B-IT,person_father,factual,74,126,791,0,991,200,0.37,0.63,917,0.1374045801526717,Answered accuracy = Correct/(Correct+Hall),natural_lre_3way_judge_n_test_gt10,True,False,False,False,0.37,Gemma-7B-IT,0.4374286202603847,743,248,14,26,15,27,Natural 28 LRE,answered_case_accuracy,0.37
